Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CAP-SMD_BD8.0-L8.3-W8.3-FD,160,-136,0,top
C2,330uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,151,-115.25,-90,top
C3,1uF,C0603,193.25,-84.5,180,top
C4,1uF,C0603,147.75,-101.25,90,top
C5,10uF,C0805,157.25,-96.5,0,top
C6,1uF,C0603,156.75,-94.25,0,top
C7,10uF,C0805,163.18,-65.1,90,top
C8,0.1uF,C0402,165.68,-64.35,90,top
C9,1uF,C0603,163,-68.9,90,top
C10,22pF,C0603,188.05,-67.45,90,top
C11,22pF,C0603,188.1,-70.65,-90,top
C12,0.1uF,C0402,181.55,-107.13,-90,top
C13,0.1uF,C0402,177.8,-96.65,-90,top
C14,0.1uF,C0402,187.98,-82,-90,top
C15,0.1uF,C0402,180.815,-85.9,180,top
C16,0.1uF,C0402,174.98,-88.65,90,top
C17,10uF,C0805,174.08,-85,90,top
C18,0.1uF,C0402,172.28,-85.75,90,top
D1,LESD5D5.0CT1G,SOD-523_L1.2-W0.8-LS1.6-BI,149,-74,0,top
D2,MBR230LSFT1G,SOD-123FL_L2.8-W1.8-LS3.6-RD,157.25,-75.5,90,top
D3,1N5822,DO-201AD_BD5.3-L8.4-P12.50-D1.4-FD,168.75,-127.5,0,top
D4,LESD5D5.0CT1G,SOD-523_L1.2-W0.8-LS1.6-BI,190.4,-73.7,0,top
D5,LESD5D5.0CT1G,SOD-523_L1.2-W0.8-LS1.6-BI,191.5,-69.9,-90,top
D6,LESD5D5.0CT1G,SOD-523_L1.2-W0.8-LS1.6-BI,194.75,-79.75,0,top
D7,MBR230LSFT1G,SOD-123FL_L2.8-W1.8-LS3.6-RD,194.25,-82,0,top
D8,1N4148W,SOD-123_L2.8-W1.8-LS3.7-RD,135.2,-71,-90,top
D9,1N4148W,SOD-123_L2.8-W1.8-LS3.7-RD,109.75,-76,-90,top
D10,1N4148W,SOD-123_L2.8-W1.8-LS3.7-RD,135.15,-92,-90,top
D11,1N4148W,SOD-123_L2.8-W1.8-LS3.7-RD,110.15,-97.5,-90,top
D12,1N4148W,SOD-123_L2.8-W1.8-LS3.7-RD,135.5,-114.06,-90,top
D13,1N4148W,SOD-123_L2.8-W1.8-LS3.7-RD,110.25,-120,-90,top
F1,1A,F1812,152.25,-79,180,top
J1,EJ508A,DC-IN-TH_EJ508A,151.7175,-68.5025,180,top
J2,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,195.7175,-73.6,90,top
J3,6 Pin Socket Header,HDR-TH_6P-P2.54-V-F,193.18,-102.1,90,top
J4,2 Pin JST,CONN-TH_B2B-XH-A-LF-SN,105.2,-73.7,90,top
J5,2 Pin JST,CONN-TH_B2B-XH-A-LF-SN,105.15,-95.27,90,top
J6,2 Pin JST,CONN-TH_B2B-XH-A-LF-SN,105.5,-117.75,90,top
J7,3 Pin JST,CONN-TH_3P-P2.50_A2501WV2-3P,195.28,-120.2,90,top
J8,2 Pin JST,CONN-TH_B2B-XH-A-LF-SN,183.5,-135.9725,180,top
K1,SRD-12VDC-SL-C,RELAY-TH_SRD-XXVDC-XL-C,122.7,-72.8,180,top
K2,SRD-12VDC-SL-C,RELAY-TH_SRD-XXVDC-XL-C,122.75,-94.5,180,top
K3,SRD-12VDC-SL-C,RELAY-TH_SRD-XXVDC-XL-C,122.9,-116.25,180,top
L1,330uH,IND-SMD_L12.3-W12.3,164,-116.5,90,top
Q1,BC337,TO-92-3_L4.8-W3.7-P2.54-R,135.25,-77.25,90,top
Q2,BC337,TO-92-3_L4.8-W3.7-P2.54-R,135.15,-98.75,90,top
Q3,BC337,TO-92-3_L4.8-W3.7-P2.54-R,135.5,-120.5,90,top
R1,5100,R0603,190.75,-76.05,-90,top
R2,5100,R0603,192.3,-66.45,90,top
R3,10000,R1206,175.2,-96.18,-90,top
R4,10000,R1206,189.38,-96.72,-90,top
R5,1000,R0603,139.75,-75.5,180,top
R6,10000,R1206,140.48,-78.25,180,top
R7,1000,R0603,139.65,-97.25,180,top
R8,10000,R1206,140.17,-100,180,top
R9,1000,R0603,140,-118.75,180,top
R10,10000,R1206,140.52,-121.5,180,top
R11,10000,R1206,179.645,-84,0,top
R12,10000,R1206,176.68,-79.68,-90,top
R13,10000,R1206,173.68,-79.62,-90,top
R14,10000,R1206,170.68,-79.62,-90,top
R15,10000,R1206,187.35,-129.9425,-90,top
R16,120,RES-TH_BD2.2-L6.5-P10.50-D0.6,182.5,-124,90,top
SW1,SW_Push,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,186.6,-106.9,180,top
SW2,SW_Push,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,182.5,-96.7,180,top
U1,LM2575T-5.0,TO-263-5_L10.2-W8.9-P1.70-TL,147.25,-132.5,180,top
U2,TPS22919QDCKRQ1,SC-70-6_L2.0-W1.3-P0.65-LS2.1-BR,196.3,-85.1,180,top
U3,LDL1117S33R,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,153.25,-99.75,180,top
U4,ESP32-C3-WROOM-02-H4,ESP32-C3-WROOM-02,177.08,-68.3,0,top
U5,TXS0102DCU,VSSOP-8_2.3x2mm_P0.5mm,185.08,-84.7,180,top
U6,ADS1115IRUGT,X2QFN-10_L2.0-W1.5-P0.50-TL_RUG0010B,172.58,-88.6,90,top
